source,target,value
"Education, Training, Employment, and Social Services",Insurance Claims and Indemnities,37278523
"Energy, Science, Space, and Technology",Refunds,33571793.03
Social Security,Travel and Transportation,26662709.21
Transportation,Refunds,24038304.05
"Education, Training, Employment, and Social Services",Printing and Supplies,18765675.54
International Affairs,Insurance Claims and Indemnities,17977267.4
National Defense,Interest and Dividends,12267489.79
Transportation,Interest and Dividends,6370047.24
Medicare,"Rent, Communications, and Utilities",5786413.26
"Regional Development, Commerce, and Housing",Refunds,3890065.3
Veterans Benefits and Services,Other,3695754.35
Agriculture,Interest and Dividends,2959135.16
Medicare,Refunds,2482566.58
Natural Resources and Environment,Interest and Dividends,2434452.41
"Education, Training, Employment, and Social Services",Interest and Dividends,1844066.51
"Energy, Science, Space, and Technology",Insurance Claims and Indemnities,1003999.62
Medicare,Travel and Transportation,830903.41
Health,Interest and Dividends,743977.46
Net Interest,"Advisory, R&D, Medical, and Other Contracts",481513
Medicare,Acquisition of Assets,384879.31
Medicare,Printing and Supplies,341757.79
Administration of Justice,Interest and Dividends,206032.51
Veterans Benefits and Services,Interest and Dividends,101681.85
International Affairs,Interest and Dividends,57274.75
Agriculture,Refunds,51560.82
Social Security,Interest and Dividends,675.77
Medicare,Interest and Dividends,87
Veterans Benefits and Services,Refunds,0
Natural Resources and Environment,Refunds,-44815360.45
"Regional Development, Commerce, and Housing",Interest and Dividends,-156899841
"Energy, Science, Space, and Technology",Other,-273876062.4
International Affairs,Other,-340769388.9
General Government,Travel and Transportation,-823088802.6
General Government,Other,-841918549.8
"Regional Development, Commerce, and Housing",Other,-2643315175
Health,Other,-2933763084
Natural Resources and Environment,Other,-29778422449
Agriculture,Other,-99123077825
Income Security,Other,-2.25E+11
