"recipient","agency","subagency","obligation"
"4 STAR TECHNOLOGIES INC","Department of State","Department of State",1475961.99
"4 STAR TECHNOLOGIES INC","Department of the Interior","Bureau of Reclamation",1228567.63
"4 STAR TECHNOLOGIES INC","Securities and Exchange Commission","Securities and Exchange Commission",7010698.67
"4-D CONSTRUCTION COMPANY","Department of Health and Human Services","National Institutes of Health",3230967.47
"4-WEB INC","Department of Defense","Defense Health Agency",7690864.3
"4320 CERRILLOS ROAD LLC","Department of Justice","Federal Bureau of Investigation",15665220.94
"4D TECH SOLUTIONS INC","Department of Defense","Department of the Army",3998527.52
"4M RESEARCH INC","Department of Defense","Department of the Army",28732073.47
"4S - SILVERSWORD SOFTWARE AND SERVICES LLC","Department of Defense","Department of Defense",1898712.84
"4SURECOM INC","Department of Homeland Security","Office of the Chief Procurement Officer",1888211.81
"4TELL SOLUTIONS LLC","Department of the Interior","Bureau of Indian Affairs and Bureau of Indian Education",8023906.54
"4TELL SOLUTIONS LLC","Department of the Interior","National Park Service",1521769.05
"5 STONES INTELLIGENCE INC","Department of Justice","Bureau of Alcohol, Tobacco, Firearms and Explosives Acquisition and Property Management Division",5436001.81
"5 STONES INTELLIGENCE INC","Department of Justice","Offices, Boards and Divisions",12969074.24
"511 INC","Department of Homeland Security","Federal Emergency Management Agency",1886871.4
"511 INC","Department of Homeland Security","Transportation Security Administration",2873483.79
"540CO LLC","Department of Defense","Department of Defense",2782438.96
"5520 WISCONSIN LLC","Department of Health and Human Services","National Institutes of Health",1082550.62
"5N PLUS SEMICONDUCTORS LLC","Department of Defense","Defense Logistics Agency",2514704.32
"6FATHOMS CONSULTING LLC","Department of Defense","Department of Defense",2220744.83
"6K SYSTEMS INC","Department of Education","Department of Education",2558022.66
"6K SYSTEMS INC","Department of Justice","Federal Bureau of Investigation",13731638.18
"6K SYSTEMS INC","Department of Transportation","Federal Aviation Administration",12483583.59
"6K SYSTEMS INC","Department of Transportation","Federal Motor Carrier Safety Administration",1787942.4
"7 OCEAN GROUP INC","Department of Defense","Department of the Army",1342998.79
"77 CONSTRUCTION USA CORP","Department of Defense","Department of the Navy",6483248
"8-KOI - LOYAL SOURCE LLC","Department of Defense","Department of the Navy",4613943.48
"8-KOI INC","Department of Defense","Department of the Navy",9398585
"9 11 ENVIRONMENTAL ACTION INC","Department of Health and Human Services","Centers for Disease Control and Prevention",299176107.39
"9 KOI MARKETING PTE LTD","Department of Defense","Department of the Navy",2914358652.3
"901 D LLC","Department of Defense","Department of the Navy",1360356.01
"908 DEVICES INC","Department of Defense","Defense Threat Reduction Agency",11528223
"911 SAFETY EQUIPMENT LLC","Department of Defense","Department of the Air Force",1870515.41
"9LINE LLC","Department of Defense","Department of the Air Force",24763652.69
"9LINE LLC","Department of Defense","Department of the Navy",2030468.44
"A & A COMPANY INC","Department of Defense","Department of the Navy",2862026.49
"A & A ROOFING CO INC","Department of the Interior","Bureau of Land Management",1036500
"A & S CONSTRUCTION CO","Department of Transportation","Federal Highway Administration",15994140.54
"A & S SKILL MACHINIST INC","Department of Defense","Defense Logistics Agency",1623173.64
"A & T SYSTEMS INC","Department of Defense","Department of the Army",7257776.93
"A & T SYSTEMS INC","Department of Veterans Affairs","Department of Veterans Affairs",10634793.12
"A A ASSOCIATES","Agency for International Development","Agency for International Development",7972507.37
"A AND M ENGINEERING & ENVIRONMENTAL SERVICES INC","Department of Defense","Department of the Army",1997286.58
"A B COLEMAN MORTUARY INC","Department of Defense","Department of the Navy",1054813.95
"A B S G CONSULTING INC","Department of Homeland Security","U.S. Coast Guard",8256570.65
"A B S QUALITY EVALUATIONS INCORPORATED","Department of Defense","Department of the Navy",8531763.62
"A BRIGHT IDEA LLC","Department of Defense","Department of the Army",2155175.41
"A BRIGHT IDEA LLC","Department of Justice","Drug Enforcement Administration",1682285.58
"A C C CONSULTANTS INCORPORATED","Department of Defense","Department of the Army",1913192.71
"A E PETSCHE COMPANY INC","Department of Defense","Defense Logistics Agency",41453631.79
"A E PETSCHE COMPANY INC","Department of Homeland Security","U.S. Coast Guard",2086840.82
"A EPSTEIN AND SONS INTERNATIONAL INC","Department of Veterans Affairs","Department of Veterans Affairs",1937433.81
"A F TECHNOLOGIES INC","Department of Defense","Defense Logistics Agency",1432601.89
"A G GASTON CONSTRUCTION COMPANY INC","Department of Defense","Defense Logistics Agency",3952457
"A G GASTON CONSTRUCTION COMPANY INC","Department of Defense","Department of the Army",1535464.4
"A G GASTON CONSTRUCTION COMPANY INC","Department of Homeland Security","Federal Emergency Management Agency",1215372.15
"A GOVERNMENT SOLUTIONS LLC","Department of Education","Department of Education",1757253.06
"A GOVERNMENT SOLUTIONS LLC","Department of Health and Human Services","Centers for Disease Control and Prevention",2004389.71
"A GOVERNMENT SOLUTIONS LLC","Department of Health and Human Services","Centers for Medicare and Medicaid Services",1375236
"A GOVERNMENT SOLUTIONS LLC","Department of Health and Human Services","Office of Assistant Secretary for Preparedness and Response",39969389.45
"A HAROLD AND ASSOCIATES LLC","Department of Defense","Department of the Army",2641613.03
"A HAROLD AND ASSOCIATES LLC","Department of Defense","Department of the Navy",32377147.33
