"recipient","agency","subagency","obligation"
"GOUDY CONSTRUCTION INC","Department of Defense","Department of the Air Force",4000498.86
"GOVCON INC","Department of Defense","Department of the Air Force",11952871.7
"GOVCONNECTION INC","Agency for International Development","Agency for International Development",1949006.88
"GOVCONNECTION INC","Commodity Futures Trading Commission","Commodity Futures Trading Commission",5527315.36
"GOVCONNECTION INC","Department of Defense","Defense Contract Management Agency",2070381.65
"GOVCONNECTION INC","Department of Defense","Department of the Air Force",1316855.33
"GOVCONNECTION INC","Department of Defense","Department of the Army",129222755.19
"GOVCONNECTION INC","Department of Defense","Department of the Navy",1767906.73
"GOVCONNECTION INC","Department of Defense","U.S. Army Corps of Engineers - Civil Program Financing Only",4678621.22
"GOVCONNECTION INC","Department of Health and Human Services","Food and Drug Administration",2717562.55
"GOVCONNECTION INC","Department of Health and Human Services","National Institutes of Health",4559398.79
"GOVCONNECTION INC","Department of State","Department of State",5772081.24
"GOVCONNECTION INC","Department of Veterans Affairs","Department of Veterans Affairs",9646467.62
"GOVERMENT TECHNOLOGY SERVICES","Department of Homeland Security","Office of the Chief Procurement Officer",61074086.29
"GOVERNMENT & INDUSTRIAL SUPPLY INC","Department of Defense","Department of the Navy",1730351.39
"GOVERNMENT ACQUISITIONS INC","Department of Agriculture","Agricultural Research Service",3418042.36
"GOVERNMENT ACQUISITIONS INC","Department of Agriculture","Animal and Plant Health Inspection Service",3529874.14
"GOVERNMENT ACQUISITIONS INC","Department of Agriculture","Farm Service Agency",1474791.16
"GOVERNMENT ACQUISITIONS INC","Department of Agriculture","Food Safety and Inspection Service",5023065.15
"GOVERNMENT ACQUISITIONS INC","Department of Agriculture","Forest Service",23355395.25
"GOVERNMENT ACQUISITIONS INC","Department of Agriculture","Natural Resources Conservation Service",10255715.58
"GOVERNMENT ACQUISITIONS INC","Department of Agriculture","Office of the Chief Financial Officer",10703669.05
"GOVERNMENT ACQUISITIONS INC","Department of Agriculture","Office of the Chief Information Officer",9479836.91
"GOVERNMENT ACQUISITIONS INC","Department of Agriculture","Office of the Inspector General",1213774.35
"GOVERNMENT ACQUISITIONS INC","Department of Commerce","U.S. Patent and Trademark Office",2731040.78
"GOVERNMENT ACQUISITIONS INC","Department of Defense","Defense Health Agency",3093901.99
"GOVERNMENT ACQUISITIONS INC","Department of Defense","Defense Information Systems Agency",2904321.64
"GOVERNMENT ACQUISITIONS INC","Department of Defense","Department of the Air Force",5510974.28
"GOVERNMENT ACQUISITIONS INC","Department of Defense","Department of the Army",33172612.8
"GOVERNMENT ACQUISITIONS INC","Department of Defense","Department of the Navy",5982862.83
"GOVERNMENT ACQUISITIONS INC","Department of Defense","U.S. Army Corps of Engineers - Civil Program Financing Only",1023447.91
"GOVERNMENT ACQUISITIONS INC","Department of Defense","U.S. Special Operations Command",20604955.86
"GOVERNMENT ACQUISITIONS INC","Department of Energy","Federal Energy Regulatory Commission",2824108.39
"GOVERNMENT ACQUISITIONS INC","Department of Health and Human Services","Centers for Disease Control and Prevention",10990346.75
"GOVERNMENT ACQUISITIONS INC","Department of Health and Human Services","Centers for Medicare and Medicaid Services",2464649.29
"GOVERNMENT ACQUISITIONS INC","Department of Health and Human Services","Food and Drug Administration",3064850.41
"GOVERNMENT ACQUISITIONS INC","Department of Health and Human Services","National Institutes of Health",25540545.02
"GOVERNMENT ACQUISITIONS INC","Department of Homeland Security","Federal Emergency Management Agency",35129491.07
"GOVERNMENT ACQUISITIONS INC","Department of Homeland Security","National Protection and Programs Directorate",1928128.22
"GOVERNMENT ACQUISITIONS INC","Department of Homeland Security","Office of the Chief Information Officer",11563893.66
"GOVERNMENT ACQUISITIONS INC","Department of Homeland Security","Office of the Chief Procurement Officer",243121825.56
"GOVERNMENT ACQUISITIONS INC","Department of Homeland Security","Transportation Security Administration",12443224.76
"GOVERNMENT ACQUISITIONS INC","Department of Homeland Security","U.S. Citizenship and Immigration Services",4770704.18
"GOVERNMENT ACQUISITIONS INC","Department of Homeland Security","U.S. Coast Guard",3405079.53
"GOVERNMENT ACQUISITIONS INC","Department of Homeland Security","U.S. Customs and Border Protection",26180500.31
"GOVERNMENT ACQUISITIONS INC","Department of Homeland Security","U.S. Secret Service",14962761.41
"GOVERNMENT ACQUISITIONS INC","Department of Housing and Urban Development","Department of Housing and Urban Development",17300281.69
"GOVERNMENT ACQUISITIONS INC","Department of State","Department of State",11657773.1
"GOVERNMENT ACQUISITIONS INC","Department of the Interior","Bureau of Land Management",4261216.94
"GOVERNMENT ACQUISITIONS INC","Department of the Interior","Departmental Offices",2333240.76
"GOVERNMENT ACQUISITIONS INC","Department of the Interior","National Park Service",1414084.07
"GOVERNMENT ACQUISITIONS INC","Department of the Treasury","Bureau of the Fiscal Service",3967956
"GOVERNMENT ACQUISITIONS INC","Department of the Treasury","Internal Revenue Service",18850532.48
"GOVERNMENT ACQUISITIONS INC","Department of the Treasury","Office of the Comptroller of the Currency",1477894.01
"GOVERNMENT ACQUISITIONS INC","Department of the Treasury","Office of the Inspector General for Tax Administration",2762352.43
"GOVERNMENT ACQUISITIONS INC","Department of Veterans Affairs","Department of Veterans Affairs",6688701.46
"GOVERNMENT ACQUISITIONS INC","Environmental Protection Agency","Environmental Protection Agency",3297269.1
"GOVERNMENT ACQUISITIONS INC","General Services Administration","Public Buildings Service",1562522.62
"GOVERNMENT CONTRACT SOLUTIONS INC","Department of Justice","Federal Bureau of Investigation",10945386.6
"GOVERNMENT CONTRACTING RESOURCES INC","Department of Defense","Defense Information Systems Agency",14200852.65
"GOVERNMENT CONTRACTING RESOURCES INC","Department of Defense","Department of the Navy",2919218.19
"GOVERNMENT CONTRACTING SERVICES LLC","Department of Defense","Department of the Army",4281461.08
"GOVERNMENT ENERGY MANAGEMENT LLC","Department of Justice","Federal Prison Industries / Unicor",3584408.75
"GOVERNMENT LOGISTIC SUPPORT SERVICES LLC","Department of Justice","Federal Bureau of Investigation",11589325.38
"GOVERNMENT LOGISTIC SUPPORT SERVICES LLC","Department of State","Department of State",1638642.29
"GOVERNMENT LOGISTICS NV","Department of State","Department of State",3149530.13
"GOVERNMENT MARKETING AND PROCU","Department of Veterans Affairs","Department of Veterans Affairs",22435521.9
"GOVERNMENT MARKETING AND PROCUREMENT LLC","Department of Defense","Defense Health Agency",18119455.95
"GOVERNMENT MARKETING AND PROCUREMENT LLC","Department of Defense","Department of the Army",7134933.34
"GOVERNMENT MARKETING AND PROCUREMENT LLC","Department of Defense","Department of the Navy",2767649.92
"GOVERNMENT OF THE MARSHALL ISL ANDS MINISTRY OF FINANCE","Department of Commerce","National Oceanic and Atmospheric Administration",3120296.67
"GOVERNMENT RECONCILIATION ANALYSTS INCORPORATED","Department of Defense","Defense Health Agency",10712688.68
"GOVERNMENT SALES INC","Department of Defense","Department of the Air Force",3530219.55
"GOVERNMENT SALES INC","Department of Defense","Department of the Army",2387748.95
"GOVERNMENT SALES INC","Department of Defense","Department of the Navy",2342442.85
"GOVERNMENT SALES INC","Department of Veterans Affairs","Department of Veterans Affairs",1988939.5
"GOVERNMENT SALES SOLUTIONS LLC","Department of Defense","Defense Logistics Agency",43317197.75
"GOVERNMENT SCIENTIFIC SOURCE","Department of Health and Human Services","Centers for Disease Control and Prevention",4910188.09
"GOVERNMENT SCIENTIFIC SOURCE","Department of Homeland Security","Office of the Chief Procurement Officer",1421476.39
"GOVERNMENT SCIENTIFIC SOURCE","Department of Veterans Affairs","Department of Veterans Affairs",27069390.72
"GOVERNMENT SCIENTIFIC SOURCE INC","Department of Agriculture","Agricultural Research Service",3928963.81
"GOVERNMENT SCIENTIFIC SOURCE INC","Department of Commerce","National Institute of Standards and Technology",1285792.41
"GOVERNMENT SCIENTIFIC SOURCE INC","Department of Defense","Defense Health Agency",1078486.63
"GOVERNMENT SCIENTIFIC SOURCE INC","Department of Defense","Defense Logistics Agency",2490178974.51
"GOVERNMENT SCIENTIFIC SOURCE INC","Department of Defense","Department of the Air Force",1160904.47
"GOVERNMENT SCIENTIFIC SOURCE INC","Department of Defense","Department of the Army",12582706.95
"GOVERNMENT SCIENTIFIC SOURCE INC","Department of Defense","Department of the Navy",3653743.62
"GOVERNMENT SCIENTIFIC SOURCE INC","Department of Health and Human Services","Food and Drug Administration",5105686.74
"GOVERNMENT SCIENTIFIC SOURCE INC","Department of Health and Human Services","National Institutes of Health",64862030.98
"GOVERNMENT SCIENTIFIC SOURCE INC","Department of the Interior","U.S. Geological Survey",1322657.98
"GOVERNMENT SCIENTIFIC SOURCE INC","Environmental Protection Agency","Environmental Protection Agency",1386037.01
"GOVERNMENT SERVICES CORPORATIO","Department of Defense","Department of the Navy",8163977.69
"GOVERNMENT SERVICES INTEGRATED PROCESS TEAM LIMITED LIABILITY COMPANY","Department of Homeland Security","Office of the Chief Procurement Officer",5295726.84
"GOVERNMENT SUPPLIERS & ASSOCIATES INC","Department of Defense","Department of the Army",2706607.42
"GOVERNMENT-BUYS INC","Department of Homeland Security","Office of the Chief Procurement Officer",2366043.03
"GOVERNORS HIGHWAY SAFETY ASSOCIATION","Department of Transportation","National Highway Traffic Safety Administration",1508516.22
"GOVPLACE","Department of Commerce","National Oceanic and Atmospheric Administration",2078713.53
"GOVPLACE","Department of Health and Human Services","National Institutes of Health",15048863.7
"GOVPLACE","Department of Health and Human Services","Office of the Assistant Secretary for Administration",5446349.98
"GOVPLACE","Department of Homeland Security","Federal Emergency Management Agency",3024692.5
"GOVPLACE","Department of Homeland Security","Federal Law Enforcement Training Center",2359420.87
"GOVPLACE","Department of Homeland Security","National Protection and Programs Directorate",3314768.51
"GOVPLACE","Department of Homeland Security","Office of the Chief Information Officer",28565053.51
"GOVPLACE","Department of Homeland Security","Office of the Chief Procurement Officer",145396614.7
"GOVPLACE","Department of Homeland Security","Transportation Security Administration",7777379.19
"GOVPLACE","Department of Homeland Security","U.S. Citizenship and Immigration Services",19835447.1
"GOVPLACE","Department of Homeland Security","U.S. Coast Guard",4665225.51
"GOVPLACE","Department of Homeland Security","U.S. Customs and Border Protection",21751151.25
"GOVPLACE","Department of Homeland Security","U.S. Immigration and Customs Enforcement",1442324.75
"GOVPLACE","Department of Homeland Security","U.S. Secret Service",4395558.36
"GOVPLACE","Department of State","Department of State",1937198.13
"GOVPLACE","Department of the Treasury","Internal Revenue Service",1483750.64
"GOVREADY PBC","Department of Homeland Security","Office of the Under Secretary for Science and Technology",1105137.34
"GOVSMART INC","Consumer Financial Protection Bureau","Consumer Financial Protection Bureau",1002159.99
"GOVSMART INC","Department of Commerce","National Oceanic and Atmospheric Administration",7399313.63
"GOVSMART INC","Department of Commerce","National Telecommunications and Information Administration",4848073.13
"GOVSMART INC","Department of Defense","Defense Information Systems Agency",5174649.47
"GOVSMART INC","Department of Defense","Department of Defense",1097488.89
"GOVSMART INC","Department of Defense","Department of the Air Force",6940354.39
"GOVSMART INC","Department of Defense","Department of the Army",5524012.7
"GOVSMART INC","Department of Defense","Department of the Navy",10576709.98
"GOVSMART INC","Department of Defense","U.S. Special Operations Command",6473764.26
"GOVSMART INC","Department of Health and Human Services","Food and Drug Administration",1716492.87
"GOVSMART INC","Department of Health and Human Services","Health Resources and Services Administration",1515775.95
"GOVSMART INC","Department of Health and Human Services","National Institutes of Health",4801145.21
"GOVSMART INC","Department of Justice","Offices, Boards and Divisions",2313637.86
"GOVSMART INC","Department of Labor","Office of Job Corps",1855537.02
"GOVSMART INC","Department of State","Department of State",3094482.18
"GOVSMART INC","Department of the Treasury","Internal Revenue Service",2115296.36
"GOVSMART INC","Department of the Treasury","Office of the Comptroller of the Currency",2889180.83
"GOVSMART INC","Department of Veterans Affairs","Department of Veterans Affairs",9731662.12
"GOVSMART INC","National Aeronautics and Space Administration","National Aeronautics and Space Administration",4990878.88
"GOVSMART INC","National Science Foundation","National Science Foundation",2868606.08
"GOVSMART INC","Office of Personnel Management","Office of Personnel Management",16170490.7
"GOVSOLUTIONS INC","Department of Education","Department of Education",1251472.06
"GOVSOLUTIONS INC","Department of the Treasury","Alcohol and Tobacco Tax and Trade Bureau",1907433.14
"GOVSOLUTIONS INC","Department of Transportation","Immediate Office of the Secretary of Transportation",7557416.85
"GOVSOLUTIONS INC","Department of Veterans Affairs","Department of Veterans Affairs",8489159.83
"GOVSOURCE INC","Department of Defense","Department of the Army",14957204.57
"GOVSOURCE SOLUTIONS GROUP LLC","Department of Defense","Department of Defense",7619535.59
"GOVSTRIVE LLC","Department of Agriculture","Agricultural Research Service",2812296.66
"GOVSTRIVE LLC","Department of Agriculture","Food and Nutrition Service",1292542
"GOVSTRIVE LLC","Department of Agriculture","Forest Service",5468259.61
"GP ABSHER ONE LLC","Department of Defense","Department of the Navy",2195306
"GP NEW ENTERPRISE GROUP LLC","Department of Defense","Department of the Army",1312104.22
"GP STRATEGIES CORPORATION","Department of Defense","Defense Security Service",2322768
"GP STRATEGIES CORPORATION","Department of Health and Human Services","Centers for Medicare and Medicaid Services",1621034
"GP STRATEGIES CORPORATION","Department of the Treasury","Internal Revenue Service",7460959.77
"GP STRATEGIES CORPORATION","Department of Transportation","Federal Highway Administration",2142909.27
"GP STRATEGIES CORPORATION","National Science Foundation","National Science Foundation",2016420
"GP STRATEGIES CORPORATION","Social Security Administration","Social Security Administration",7495476.32
"GPA TECHNOLOGIES INC","Department of Defense","Department of the Navy",3090787.12
"GPC CONSOLIDATED REPORTING","Department of Agriculture","Forest Service",9012106.6
"GPC CONSOLIDATED REPORTING","Department of Defense","Defense Information Systems Agency",1112611.67
"GPC CONSOLIDATED REPORTING","Department of Defense","Department of the Army",31346464.36
"GPC CONSOLIDATED REPORTING","Department of Defense","Washington Headquarters Services",2022237.83
"GPC FOREIGN CONTRACTOR CONSOLIDATED REPORTING","Department of Defense","Department of the Air Force",56631341.62
"GPC FOREIGN CONTRACTOR CONSOLIDATED REPORTING","Department of Defense","Department of the Army",34681181.84
"GPC SMALL BUSINESS","Department of Homeland Security","Office of the Chief Procurement Officer",1068903.42
"GPH CONSULTING LLC","Department of Defense","Department of the Navy",3749368
"GPM INC","Department of Defense","U.S. Army Corps of Engineers - Civil Program Financing Only",2093968.3
"GPS INFORMATION GUIDANCE LLC","Department of Defense","U.S. Army Corps of Engineers - Civil Program Financing Only",11825204.6
"GPS SOURCE INC","Department of Defense","Department of the Air Force",3016037.06
"GRA INC","Department of Labor","Office of the Assistant Secretary for Administration and Management",1932094.93
"GRA INCORPORATED","Department of Transportation","Federal Aviation Administration",4674819.09
"GRACE CONSULTING SERVICES LLC","Department of Health and Human Services","National Institutes of Health",2934404
"GRACE ELECTRONICS LLC","Department of Defense","Defense Logistics Agency",4246332.49
"GRACE PACIFIC CORPORATION","Department of Defense","Department of the Army",27207836.7
"GRACE REGISTRY SERVICES","Department of Veterans Affairs","Department of Veterans Affairs",1513250.58
"GRACON LLC","Department of Defense","U.S. Army Corps of Engineers - Civil Program Financing Only",6041826
"GRACON LLC","Department of the Interior","Bureau of Reclamation",2004874.12
"GRADKELL SYSTEMS INC","Department of Defense","U.S. Army Corps of Engineers - Civil Program Financing Only",5665489.73
"GRADUATE SCHOOL","Department of Homeland Security","Office of the Chief Procurement Officer",1298790
"GRADUATE SCHOOL","Department of Housing and Urban Development","Department of Housing and Urban Development",4653708.6
"GRADUATE SCHOOL","Department of the Interior","Insular Affairs",4627615.38
"GRAF LLC","Department of Defense","Department of the Air Force",1599654
"GRAF LLC","Department of Defense","Missile Defense Agency",1137352.6
"GRAFIK INDUSTRIES LTD","Department of Labor","Office of Information and Public Affairs",1234906.74
"GRAFIK INDUSTRIES LTD","Nuclear Regulatory Commission","Nuclear Regulatory Commission",3734151.53
"GRAFIK MARKETING COMMUNICATION","Department of Commerce","U.S. Census Bureau",1800606.02
"GRAFLEX INC","Department of Defense","Department of the Army",2119494.98
"GRAHAM & ASSOCIATES INC","Department of Defense","Department of the Army",3140391.98
"GRAHAM COUNTY ELECTRIC COOPERATIVE INC","Department of Justice","Federal Prison System / Bureau of Prisons",1104772.23
"GRAHAM COUNTY LAND COMPANY LLC","Department of Transportation","Federal Highway Administration",2225859.77
"GRAHAM SERVICES LLC","Department of Defense","U.S. Army Corps of Engineers - Civil Program Financing Only",2847856.59
"GRAHAM STAFFING SERVICES INC","Broadcasting Board of Governors","Broadcasting Board of Governors",1163892.26
"GRAHAM STAFFING SERVICES INC","Overseas Private Investment Corporation","Overseas Private Investment Corporation",3724013.19
"GRAHAM TECHNOLOGIES LLC","Department of Defense","Department of Defense",3090670.18
"GRAHAM TECHNOLOGIES LLC","Department of Defense","Department of the Air Force",1374644.92
"GRAHAM TECHNOLOGIES LLC","Department of Defense","Department of the Army",6456897.96
"GRAHAM TECHNOLOGIES LLC","Department of Defense","Department of the Navy",1602969.62
"GRAHAM TECHNOLOGIES LLC","Department of Health and Human Services","Centers for Disease Control and Prevention",2318118.47
"GRAMMATECH INC","Department of Defense","Defense Advanced Research Projects Agency",10300084.99
"GRAMMATECH INC","Department of Defense","Department of the Air Force",2212418
"GRAMMATECH INC","Department of Defense","Department of the Army",1021749.57
"GRAMMATECH INC","Department of Defense","Department of the Navy",2265183
"GRANCOR ENTERPRISES INC","Department of Defense","Department of the Air Force",8373490.79
"GRANCOR ENTERPRISES INC","Department of Defense","Department of the Army",1887792.86
"GRANCOR ENTERPRISES INC","Department of Health and Human Services","Indian Health Service",8119608.25
"GRAND COASTAL BUILDERS INC","Department of Defense","Department of the Navy",8685572.7
"GRAND COASTAL BUILDERS INC","Department of Defense","U.S. Army Corps of Engineers - Civil Program Financing Only",6621588.96
"GRAND COULEE CITY OF","Department of the Interior","Bureau of Reclamation",1642523.73
"GRAND EAGLE SUMMIT LLC","Department of the Interior","Bureau of Land Management",4017926.95
"GRAND ENTERPRISES LLC","Department of Defense","Department of the Air Force",1985721.59
"GRAND STRATEGY LLC","Department of Veterans Affairs","Department of Veterans Affairs",1406426.14
"GRANDVILLE CONSTRUCTION INC","Department of Defense","U.S. Army Corps of Engineers - Civil Program Financing Only",1823249.99
"GRANDWELD BRANCH OF ATOS INT ERNATIONALLLC","Department of Defense","Department of the Navy",31384500.62
"GRANITE COMMERCIAL REAL ESTATE","Department of Defense","Department of the Air Force",1175249.96
"GRANITE CONSTRUCTION COMPANY","Department of Defense","Department of the Army",58769283.74
"GRANITE CONSTRUCTION COMPANY","Department of Defense","U.S. Army Corps of Engineers - Civil Program Financing Only",343442337.46
"GRANITE CONSTRUCTION COMPANY","Department of Transportation","Federal Highway Administration",28749853.09
"GRANITE EXCAVATION INC","Department of Transportation","Federal Highway Administration",1235977.46
"GRANITE SEED COMPANY","Department of the Interior","Bureau of Land Management",3177047.95
"GRANT LEADING TECHNOLOGY LLC","Department of Transportation","Federal Aviation Administration",5676929.1
"GRANT PROGRAM SOLUTIONS","Department of Homeland Security","Federal Emergency Management Agency",2778803.85
"GRANT THORNTON LLP","Consumer Financial Protection Bureau","Consumer Financial Protection Bureau",3139359.83
"GRANT THORNTON LLP","Department of Agriculture","Natural Resources Conservation Service",2716520.22
"GRANT THORNTON LLP","Department of Agriculture","Office of the Chief Financial Officer",2245114.33
"GRANT THORNTON LLP","Department of Agriculture","Rural Housing Service",4697917.25
"GRANT THORNTON LLP","Department of Commerce","U.S. Patent and Trademark Office",18445817.14
"GRANT THORNTON LLP","Department of Defense","Defense Finance and Accounting Service",1813837.1
"GRANT THORNTON LLP","Department of Defense","Defense Health Agency",3717490.3
"GRANT THORNTON LLP","Department of Defense","Department of Defense",11222810.05
"GRANT THORNTON LLP","Department of Defense","Department of the Army",1485583.23
"GRANT THORNTON LLP","Department of Health and Human Services","National Institutes of Health",8842135.8
"GRANT THORNTON LLP","Department of Health and Human Services","Office of the Assistant Secretary for Administration",1123132.17
"GRANT THORNTON LLP","Department of Homeland Security","National Protection and Programs Directorate",12601447.98
"GRANT THORNTON LLP","Department of Homeland Security","Office of the Chief Procurement Officer",10763911.55
"GRANT THORNTON LLP","Department of Homeland Security","U.S. Coast Guard",7945253.11
"GRANT THORNTON LLP","Department of Homeland Security","U.S. Customs and Border Protection",34817473.02
"GRANT THORNTON LLP","Department of Homeland Security","U.S. Immigration and Customs Enforcement",30180615.5
"GRANT THORNTON LLP","Department of Justice","Offices, Boards and Divisions",17615122.7
"GRANT THORNTON LLP","Department of the Treasury","Bureau of the Fiscal Service",20166806.78
"GRANT THORNTON LLP","Department of Veterans Affairs","Department of Veterans Affairs",55330360.37
"GRANT THORNTON LLP","National Aeronautics and Space Administration","National Aeronautics and Space Administration",4424101.86
"GRANT THORNTON LLP","National Science Foundation","National Science Foundation",5839164.7
"GRANT THORNTON LLP","Office of Personnel Management","Office of Personnel Management",1502304.87
"GRANT THORNTON LLP","Pension Benefit Guaranty Corporation","Pension Benefit Guaranty Corporation",10481847.3
"GRANVILLE MEDICAL MANAGEMENT INC","Department of Justice","Federal Prison System / Bureau of Prisons",1315851.9
"GRAPHI TECH INC","Department of State","Department of State",3151419.09
"GRAVITEC SYSTEMS INC","National Gallery of Art","National Gallery of Art",1764217
"GRAVOIS ALUMINUM BOATS","Department of Defense","Department of the Navy",41391711.93
"GRAVOIS ALUMINUM BOATS","Department of Defense","U.S. Army Corps of Engineers - Civil Program Financing Only",2497287
"GRAVOIS ALUMINUM BOATS","Department of Homeland Security","U.S. Coast Guard",54646051.56
"GRAVOTECH INC","Department of Defense","Department of the Navy",6612669.3
"GRAW RADIOSONDES GMBH & CO KG","Department of Commerce","National Oceanic and Atmospheric Administration",2690459
"GRAY MATTERS TECHNOLOGY SERVICE LLC","Department of Agriculture","Farm Service Agency",1574956.94
"GRAY PAGE INTELLIGENCE SERVICES LTD","Department of Defense","Department of the Navy",1165758
"GRAYLOC PRODUCTS LLC","Department of Defense","Department of the Army",7517235.36
"GRAYLOC PRODUCTS LLC","National Aeronautics and Space Administration","National Aeronautics and Space Administration",158075632.58
"GREAT JOURNEY WEST LLC","Department of Veterans Affairs","Department of Veterans Affairs",1105019.04
"GREAT LAKES COMPUTER CORP","Department of Defense","Department of the Army",1130293.28
"GREAT LAKES DOCK AND MATERIALS LLC","Department of Defense","U.S. Army Corps of Engineers - Civil Program Financing Only",41561437.96
"GREAT LAKES DREDGE & DOCK COMPANY LLC","Department of Commerce","National Oceanic and Atmospheric Administration",29572971.22
"GREAT LAKES DREDGE & DOCK COMPANY LLC","Department of Defense","Department of the Army",330009535.66
"GREAT LAKES DREDGE & DOCK COMPANY LLC","Department of Defense","Department of the Navy",1239249
"GREAT LAKES DREDGE & DOCK COMPANY LLC","Department of Defense","U.S. Army Corps of Engineers - Civil Program Financing Only",630309447.75
"GREAT LAKES E & I INQUIP JV","Department of Defense","Department of the Army",19567743.1
"GREAT LAKES EDUCATIONAL LOAN SERVICES INC","Department of Education","Department of Education",54162093.28
"GREAT LAKES PETROLEUM CO","Department of Defense","Defense Logistics Agency",40793480.09
"GREAT LAKES RECOVERY CENTERS INC","Department of Justice","Federal Prison System / Bureau of Prisons",1737505.2
"GREAT LAKES SOUND & VIBRATION INC","Department of Defense","Department of the Army",1844480.11
"GREAT MILLS TRADING POST CO","Department of Defense","Department of the Navy",63422982.65
"GREAT PLAINS ENTERPRISES INC","Department of Defense","Defense Commissary Agency",20089734.49
"GREAT PLAINS ENTERPRISES INC","Department of Defense","Department of the Army",1426956.75
"GREAT PLAINS QUALITY INNOVATION NETWORK","Department of Health and Human Services","Centers for Medicare and Medicaid Services",2880179
"GREAT SOUTHERN ENGINEERING INC","National Aeronautics and Space Administration","National Aeronautics and Space Administration",3986168.62
"GREAT WEST OF HAWAII INC","Department of Defense","Defense Logistics Agency",17849000.63
"GREATER FARALLONES ASSOCIATION","Department of Commerce","National Oceanic and Atmospheric Administration",1170021.79
"GREATER MARYLAND TOOL & MFG CORP","Department of Defense","Department of the Navy",29318112.74
"GREATER METROPOLITAN COMMUNITY BLOOD SERVICE INC","Department of Veterans Affairs","Department of Veterans Affairs",3583855.5
"GREATEST GOOD LLC THE","Office of Personnel Management","Office of Personnel Management",2850000
"GREEN CLOVER SERVICES","Department of Defense","Department of the Navy",7587650
"GREEN CONTRACTING COMPANY INC","Department of Defense","Department of the Navy",9069315
"GREEN DOT ETC INC","Department of Defense","Department of the Air Force",6097200
"GREEN DREAM INTERNATIONAL LLC","Department of Agriculture","Forest Service",1987564.45
"GREEN DREAM INTERNATIONAL LLC","Department of Defense","Department of the Air Force",1445250.7
"GREEN FARMS OF NEVADA INC","Department of Defense","Defense Logistics Agency",48803010.95
"GREEN FUTURE CONSTRUCTION COMPANY","Department of Defense","Department of the Army",2618501
"GREEN GENERATION SOLUTIONS LLC","Department of Agriculture","Forest Service",2794208
"GREEN IT SYSTEMS GROUP","Department of Homeland Security","Transportation Security Administration",2728338.39
"GREEN LANTERN LLC","Department of Commerce","National Institute of Standards and Technology",1446500
"GREEN LANTERN LLC","Department of Defense","Department of the Army",1599531.2
"GREEN LIFE ENVIRONMENTAL LLC","Department of Defense","Defense Logistics Agency",2996156.05
"GREEN OFFICE FURNITURE SOLUTIONS LLC","Department of Veterans Affairs","Department of Veterans Affairs",1357158.12
"GREEN PARTNER CO LTD","Department of State","Department of State",1399802.39
"GREEN POWERED TECHNOLOGY LLC","United States Trade and Development Agency","United States Trade and Development Agency",2864895.78
"GREEN SOLAR LOUISIANA LLC","Department of Defense","Department of the Army",2579633
"GREEN TECHNOLOGY GROUP LLC THE","Department of Defense","Defense Health Agency",1677989.4
"GREEN WATER ENERGY LLC","Department of Defense","U.S. Army Corps of Engineers - Civil Program Financing Only",3319205.54
"GREEN WORLD CONTRACTING CORP","Department of Defense","Department of the Air Force",1126944.87
"GREEN WORLD CONTRACTING CORP","Department of Energy","Department of Energy",4040166
"GREENBRIER MEDICAL GROUP INC","Department of Justice","Federal Prison System / Bureau of Prisons",1545642
"GREENDART INCORPORATED","Department of Homeland Security","U.S. Customs and Border Protection",3370567.56
"GREENE MACHINE & MANUFACTURING INC","Department of Defense","Defense Logistics Agency",1861118.83
"GREENE MACHINE & MANUFACTURING INC","Department of Defense","Department of the Navy",1028546.6
"GREENE METAL PRODUCTS INC","Department of Defense","Defense Logistics Agency",3764368.02
"GREENE RESPIRATORY SERVICES INC","Department of Veterans Affairs","Department of Veterans Affairs",4710701.63
"GREENEFFICIENT INC","Department of Veterans Affairs","Department of Veterans Affairs",1881370.96
"GREENER CONSTRUCTION SERVICES INC","Department of Defense","Department of the Army",3030420.66
"GREENFIELD ENGINEERING CORPORATION","Department of Defense","Department of the Navy",8969898.73
"GREENHEART FARMS INC","Department of the Interior","Bureau of Reclamation",5064768.5
"GREENHORN AND OMARA","Department of Homeland Security","Federal Emergency Management Agency",1562173.09
"GREENHORNE & OMARA INC","General Services Administration","Public Buildings Service",1052381.1
"GREENLAND CONTRACTORS IS","Department of Defense","Department of the Air Force",129338592.67
"GREENLAND ENTERPRISES INC","Department of Veterans Affairs","Department of Veterans Affairs",32866915.6
"GREENLEAF CONSTRUCTION CO INC","Department of Defense","Department of the Army",13205269.96
"GREENLEAF SERVICES INC","Department of Defense","Department of the Army",14177641.3
"GREENMAN-PEDERSEN INC","Department of Transportation","Federal Highway Administration",2365711.14
"GREENMAN-PEDERSEN INC","General Services Administration","Public Buildings Service",3114782.85
"GREENMAN-PEDERSEN INC","Social Security Administration","Social Security Administration",1574275.47
"GREENSEA SYSTEMS INC","Department of Defense","Defense Advanced Research Projects Agency",1574848.62
"GREENSTONE CONSTRUCTION INC","Department of Agriculture","Agricultural Research Service",1403831.83
"GREENSTONE LLC","Department of Defense","Defense Logistics Agency",74972941.79
"GREENTREE GROUP INC THE","Department of Defense","Department of the Air Force",14938582.42
"GREENVILLE AUTO AUCTION INC","General Services Administration","Federal Acquisition Service",1450518.51
"GREENWAY ENTERPRISES INC","Department of Defense","Department of the Army",1522607.39
