COC_Number,COC_Name,amount
MA-510,"Gloucester, Haverhill, Salem/Essex County CoC",2023150.28
MA-511,Quincy/Brockton/Weymouth/Plymouth City and County CoC,5647494.33
MA-515,Fall River CoC,1884285
MA-516,Massachusetts Balance of State,987225
MA-516,Massachusetts Balance of State CoC,50344.05
MA-517,Somerville CoC,1300595.9
MA-519,Attleboro/Taunton/Bristol County CoC,580916
MA-599,"MA-510, MA-516 & MA-518 Shared Jurisdiction",1027853
MD-500,Cumberland/Allegany County CoC,517660.05
MD-501,Baltimore City CoC,24759770
MD-502,Harford County CoC,644447
MD-503,Annapolis/Anne Arundel County CoC,2039530.48
MD-504,Howard County CoC,590510.13
MD-505,Baltimore County CoC,5534812.07
MD-506,Carroll County CoC,260658
MD-507,Cecil County CoC,641052
MD-508,"Charles, Calvert, St.Mary's Counties CoC",1386105
MD-509,Frederick City & County CoC,248424
MD-510,Garrett County CoC,237274
MD-512,Hagerstown/Washington County CoC,1025152
MD-513,Wicomico/Somerset/Worcester County CoC,1606232.86
MD-600,Prince George`s County/Maryland CoC,5201622.86
MD-601,Montgomery County CoC,9489716.33
ME-500,Maine Balance of State CoC,14873996.02
MI-500,Michigan Balance of State CoC,1522491.22
MI-501,Detroit CoC,27512451.97
MI-502,Dearborn/Dearborn Heights/Westland/Wayne County CoC,1123803
MI-503,St. Clair Shores/Warren/Macomb County CoC,1094751.15
MI-504,Pontiac/Royal Oak/Oakland County CoC,8264208.69
MI-505,Flint/Genesee County CoC,2436425.68
MI-506,Grand Rapids/Wyoming/Kent County CoC,5609689.38
MI-507,Portage/Kalamazoo City & County CoC,2024899.73
MI-508,Lansing/East Lansing/Ingham County CoC,15008331.11
MI-509,Ann Arbor/Washtenaw County CoC,6599970.18
MI-510,Saginaw City & County CoC,1512029.41
MI-511,Lenawee County CoC,92538
MI-512,"Grand Traverse, Antrim, Leelanau Counties CoC",360126
MI-513,"Marquette, Alger Counties CoC",39592.85
MI-514,Battle Creek/Calhoun County CoC,294916
MI-515,Monroe City & County CoC,366370
MI-516,Norton Shores/Muskegon City & County CoC,679641.04
MI-517,Jackson City & County CoC,579262.36
MI-518,Livingston County CoC,212254
MI-519,Holland/Ottawa County CoC,983865
MI-523,Eaton County CoC,820631
MN-500,Minneapolis/Hennepin County CoC,12654785.77
MN-501,Saint Paul/Ramsey County CoC,14436838.48
MN-502,Rochester/Southeast Minnesota CoC,1229951.65
MN-503,"Dakota, Anoka, Washington, Scott, Carver Counties",1947323.35
MN-504,Northeast Minnesota CoC,98515.05
MN-505,St. Cloud/Central Minnesota CoC,1085923
MN-506,Northwest Minnesota CoC,958340.08
MN-508,Moorhead/West Central Minnesota CoC,789483.69
MN-509,Duluth/St.Louis County CoC,3419426.85
MN-511,Southwest Minnesota CoC,682209.9
MO-500,St. Louis County CoC,1092285.11
MO-501,St.Louis City CoC,11191489.59
MO-503,"St. Charles, Lincoln, Warren Counties CoC",480422
MO-600,"Springfield/Greene, Christian, Webster Counties CoC",853418.09
MO-602,"Joplin/Jasper, Newton Counties CoC",615281.91
MO-603,"St. Joseph/Andrew, Buchanan, DeKalb Counties CoC",557748.58
MO-604,"Kansas City, Independence, Lee's Summit/Jackson, Wyandotte Counties CoC",12523455.75
MO-606,Missouri Balance of State CoC,16418647.84
MS-500,"Jackson/Rankin, Madison Counties CoC",5351445.04
MS-501,Mississippi Balance of State CoC,2803304
MS-503,Gulf Port/Gulf Coast Regional CoC,1121217.46
MT-500,Montana Statewide CoC,4802408.15
NC-500,Winston Salem/Forsyth County CoC,2266163.15
NC-501,Asheville/Buncombe County CoC,4969000.83
NC-502,Durham City & County CoC,3255747
NC-503,North Carolina Balance of State CoC,6447304.85
NC-504,Greensboro/High Point CoC,3108621.58
NC-505,Charlotte/Mecklenberg CoC,4265085.2
NC-506,"Wilmington/Brunswick, New Hanover, Pender Counties CoC",1010442.89
NC-507,Raleigh/Wake County CoC,10528731.74
NC-509,"Gastonia/Cleveland, Gaston, Lincoln Counties CoC",1302641.5
NC-511,Fayetteville/Cumberland County CoC,517788
NC-513,Chapel Hill/Orange County CoC,-66288
NC-516,Northwest North Carolina CoC,284540
ND-500,North Dakota Statewide CoC,3229148.5
NE-500,Nebraska Balance of State CoC,1799708.42
NE-501,Omaha/Council Bluffs CoC,5371555.33
NE-502,Lincoln CoC,4851230.08
NH-500,New Hampshire Balance of State CoC,4587415.41
NH-501,Manchester CoC,1789236
NH-502,Nashua/Hillsborough County CoC,3180723
NJ-500,Atlantic City & County CoC,518800.19
NJ-501,Bergen County CoC,559547
NJ-502,Burlington County CoC,440487
NJ-503,"Camden City/Camden, Cumberland, Gloucester, Cape May Counties CoC",3794027.49
NJ-504,Newark/Essex County CoC,4831518.16
NJ-506,Jersey City/Bayonne/Hudson County CoC,4751516.56
NJ-507,New Brunswick/Middlesex County CoC,1199020.35
NJ-508,Monmouth County CoC,3925383.62
NJ-509,Morris County CoC,2843601.2
NJ-510,Lakewood Township/Ocean County CoC,353277.51
NJ-511,Paterson/Passaic County CoC,672481.32
NJ-512,Salem County CoC,139618
NJ-513,Somerset County CoC,1056522
NJ-514,Trenton/Mercer County CoC,5077863.78
NJ-515,Elizabeth/Union County CoC,5504359.55
NJ-516,"Warren, Sussex, Hunterdon Counties CoC",741006.87
NM-500,Albuquerque CoC,7587967.97
NM-501,New Mexico Balance of State CoC,5522210.3
No CoC,No CoC,532371
NV-500,Las Vegas/Clark County CoC,18330720.46
NV-501,Reno/Sparks/Washoe County CoC,2445408.76
NV-502,Nevada Balance of State CoC,583047.21
NY-500,Rochester/Irondequoit/Greece/Monroe County CoC,11161688.99
NY-501,"Elmira/Steuben, Allegany, Livingston, Chemung, Schuyler Counties CoC",1467575
NY-503,Albany City & County CoC,5718712.69
NY-504,Cattaragus County CoC,498999
NY-505,"Syracuse, Auburn/Onondaga, Oswego, Cayuga Counties CoC",11976645.2
NY-507,Schenectady City & County CoC,3147412.22
NY-508,"Buffalo, Niagara Falls/Erie, Niagara, Orleans, Genesee, Wyoming Counties CoC",12882824.56
NY-510,Ithaca/Tompkins County CoC,347087
NY-511,"Binghamton, Union/Broome, Otsego, Chenango, Delaware, Cortland, Tioga Counties C",2138214.01
NY-512,Troy/Rensselaer County CoC,2741170.66
NY-513,"Wayne, Ontario, Seneca, Yates Counties CoC",386988
NY-514,Jamestown/Dunkirk/Chautauqua County CoC,446383
NY-516,Clinton County CoC,129511.75
NY-518,"Utica/Rome/Oneida, Madison Counties CoC",943972
NY-519,Columbia/Greene County CoC,328687.57
NY-520,Franklin County CoC,123902
NY-522,Jefferson/Lewis/St. Lawrence Counties CoC,1041820.09
NY-523,"Glens Falls/Saratoga Springs/Saratoga, Washington, Warren, Hamilton Counties CoC",2363464.47
NY-600,New York City CoC,104396860.9
NY-601,Poughkeepsie/Dutchess County CoC,1442118.93
NY-602,Newburgh/Middletown/Orange County CoC,2638180.34
NY-603,"Nassau, Suffolk Counties/Babylon/Islip/ Huntington CoC",9894404.38
NY-604,Yonkers/Mount Vernon/New Rochelle/Westchester CoC,13545564.03
NY-606,Rockland County CoC,5540800.42
NY-608,Kingston/Ulster County CoC,1033558.46
OH-500,Cincinnati/Hamilton County CoC,21883031.59
OH-501,Toledo/Lucas County CoC,5385846.55
OH-502,Cleveland/Cuyahoga County CoC,36170669.15
OH-503,Columbus/Franklin County CoC,14026936.83
OH-504,Youngstown/Mahoning County CoC,2520949
OH-505,Dayton/Kettering/Montgomery County CoC,10236474.84
OH-506,Akron/Barberton/Summit County CoC,5095013.7
OH-507,Ohio Balance of State CoC,15940593.57
OH-508,Canton/Massillon/Alliance/Stark County CoC,3334414.55
OK-500,North Central Oklahoma CoC,1245660
OK-501,Tulsa City & County/Broken Arrow CoC,3925507.19
OK-502,Oklahoma City CoC,5343165.95
OK-503,Oklahoma Balance of State CoC,963582.53
OK-504,Norman/Cleveland County CoC,370845.61
OK-505,Northeast Oklahoma CoC,364564
OK-506,Southwest Oklahoma Regional CoC,54952.49
OK-507,Southeastern Oklahoma Regional CoC,117437
OR-500,Eugene/Springfield/Lane County CoC,4192368.16
OR-501,Portland-Gresham-Multnomah County CoC,24321546.62
OR-502,Medford/Ashland/Jackson County CoC,1095707.28
OR-503,Central Oregon CoC,1133310.58
OR-505,Oregon Balance of State CoC,6622740.97
OR-506,Hillsboro/Beaverton/Washington County CoC,4965043.05
OR-507,Clackamas County CoC,2017795.43
PA-500,Philadelphia CoC,38642367.95
PA-501,Harrisburg/Dauphin County CoC,3336958.1
PA-502,Upper Darby/Chester/Haverford/Delaware County CoC,2474039.74
